"Note","Course","Module","Clip","Time in Clip","URL"
"People Have access with Data","Data Science: The Big Picture","Data Analytics","Data-driven Decision Making","0:33","https://app.pluralsight.com/player?course=data-science-big-picture&author=matthew-renze&name=e2b7f5b8-5b0f-4bc0-bc24-ed4e5f8d31b9&clip=3&mode=live&start=33&noteid=3b9964fa-5b2e-4fe1-bc79-3fea3c7d9f2b"
"Governments have access to the data","Data Science: The Big Picture","Data Analytics","Data-driven Decision Making","0:49","https://app.pluralsight.com/player?course=data-science-big-picture&author=matthew-renze&name=e2b7f5b8-5b0f-4bc0-bc24-ed4e5f8d31b9&clip=3&mode=live&start=49&noteid=872dbd16-9f1b-456a-967d-6ff58e5c03dd"
"Anyone can have access to the data","Data Science: The Big Picture","Data Analytics","Data-driven Decision Making","1:14","https://app.pluralsight.com/player?course=data-science-big-picture&author=matthew-renze&name=e2b7f5b8-5b0f-4bc0-bc24-ed4e5f8d31b9&clip=3&mode=live&start=74&noteid=c923c2fd-58e7-4ade-9d47-6a420f297198"
"in the future, we will have new tools to access data like AR or VR","Data Science: The Big Picture","Data Analytics","Data-driven Decision Making","1:42","https://app.pluralsight.com/player?course=data-science-big-picture&author=matthew-renze&name=e2b7f5b8-5b0f-4bc0-bc24-ed4e5f8d31b9&clip=3&mode=live&start=102&noteid=9b11e1e3-1b0c-4895-9f2a-9118cc4f890e"
"Quantitative analysis is a new trade","Data Science: The Big Picture","Data Analytics","Examples","0:49","https://app.pluralsight.com/player?course=data-science-big-picture&author=matthew-renze&name=e2b7f5b8-5b0f-4bc0-bc24-ed4e5f8d31b9&clip=4&mode=live&start=49&noteid=82badabe-9b24-4c43-82fc-7c34364594b5"
"its was quite a tradional system","Data Science: The Big Picture","Data Analytics","Examples","1:22","https://app.pluralsight.com/player?course=data-science-big-picture&author=matthew-renze&name=e2b7f5b8-5b0f-4bc0-bc24-ed4e5f8d31b9&clip=4&mode=live&start=82&noteid=8d6aed6e-d09b-4196-8b36-df016ffcd37c"
"Data Science can be used to essentially everything like this example of baseball here","Data Science: The Big Picture","Data Analytics","Examples","1:42","https://app.pluralsight.com/player?course=data-science-big-picture&author=matthew-renze&name=e2b7f5b8-5b0f-4bc0-bc24-ed4e5f8d31b9&clip=4&mode=live&start=102&noteid=2e1eaf63-4548-4a10-ab16-c24dd2bfe5ad"
"It's a Dawn of a new era of data science","Data Science: The Big Picture","Data Analytics","Examples","2:40","https://app.pluralsight.com/player?course=data-science-big-picture&author=matthew-renze&name=e2b7f5b8-5b0f-4bc0-bc24-ed4e5f8d31b9&clip=4&mode=live&start=160&noteid=ddaf0c37-6908-41d7-a1b4-989338b67f70"
"It's a Data-Driven Enterprize","Data Science: The Big Picture","Data Analytics","Summary","0:39","https://app.pluralsight.com/player?course=data-science-big-picture&author=matthew-renze&name=e2b7f5b8-5b0f-4bc0-bc24-ed4e5f8d31b9&clip=5&mode=live&start=39&noteid=12732706-c6cc-4418-9500-03c9b7e7f479"
"In insurance, they have lots of data in regards to apps like Fitbit to see how to modernize the system in the insurance industry","Data Science: The Big Picture","Data Analytics","Summary","2:32","https://app.pluralsight.com/player?course=data-science-big-picture&author=matthew-renze&name=e2b7f5b8-5b0f-4bc0-bc24-ed4e5f8d31b9&clip=5&mode=live&start=152&noteid=cfd0a5cc-5b32-47d2-b382-7f49a6de5d84"
