"Note","Course","Module","Clip","Time in Clip","URL"
"We will essentially make an R Playbook","Data Analysis with Shiny: R Playbook","Up and Running with Shiny","R Shiny and the Deployment Obstacle","0:44","https://app.pluralsight.com/player?course=data-analysis-shiny-r-playbook&author=jacey-heuer&name=d297e863-089c-423f-a667-99d532a4df76&clip=0&mode=live&start=44&noteid=a5881f50-3bca-46d6-9285-7dc035ff8dd3"
"Shiny is an open-source R Package","Data Analysis with Shiny: R Playbook","Up and Running with Shiny","R Shiny and the Deployment Obstacle","0:55","https://app.pluralsight.com/player?course=data-analysis-shiny-r-playbook&author=jacey-heuer&name=d297e863-089c-423f-a667-99d532a4df76&clip=0&mode=live&start=55&noteid=3c03568d-13bd-4f64-b564-a29f8ef86c37"
"The Database Connects with Data Science in R Language Code then Links with the Shiny Web App then Links With the End User.","Data Analysis with Shiny: R Playbook","Up and Running with Shiny","R Shiny and the Deployment Obstacle","1:36","https://app.pluralsight.com/player?course=data-analysis-shiny-r-playbook&author=jacey-heuer&name=d297e863-089c-423f-a667-99d532a4df76&clip=0&mode=live&start=96&noteid=ee7d9f74-65d1-468f-8b63-802c5831b239"
"The Data Science Pipeline ","Data Analysis with Shiny: R Playbook","Up and Running with Shiny","R Shiny and the Deployment Obstacle","2:34","https://app.pluralsight.com/player?course=data-analysis-shiny-r-playbook&author=jacey-heuer&name=d297e863-089c-423f-a667-99d532a4df76&clip=0&mode=live&start=154&noteid=f9b11a11-b912-425f-8e2a-480f22ddc479"
"within the Traditional Data Science Process, there are Business requirements, then Data Modeling and Data Wrangling Which create the Data Science Pipeline and then the last step is Deployment","Data Analysis with Shiny: R Playbook","Up and Running with Shiny","R Shiny and the Deployment Obstacle","2:45","https://app.pluralsight.com/player?course=data-analysis-shiny-r-playbook&author=jacey-heuer&name=d297e863-089c-423f-a667-99d532a4df76&clip=0&mode=live&start=165&noteid=16aa4cb8-7cbc-4b32-b60a-778bf669b3e2"
"Within R Shiny There's a physical Data, The server.R script, and the ui.R script within the example displayed here","Data Analysis with Shiny: R Playbook","Up and Running with Shiny","Exploring the R Shiny Galleries","2:26","https://app.pluralsight.com/player?course=data-analysis-shiny-r-playbook&author=jacey-heuer&name=d297e863-089c-423f-a667-99d532a4df76&clip=1&mode=live&start=146&noteid=bbaf46a9-b401-40b3-ab72-bb745ee7b6ab"
"Within the R Shiny Framework, You will need an App directory a UI (user interface) for the script and the object name and define a Server Function for your R Shiny Framework.","Data Analysis with Shiny: R Playbook","Up and Running with Shiny","Setting up the R Shiny Framework","0:34","https://app.pluralsight.com/player?course=data-analysis-shiny-r-playbook&author=jacey-heuer&name=d297e863-089c-423f-a667-99d532a4df76&clip=2&mode=live&start=34&noteid=7406372d-7a0c-4755-b245-f1b956fa76ab"
"This is the tree diagram for the R Shiny File Structure","Data Analysis with Shiny: R Playbook","Up and Running with Shiny","Setting up the R Shiny Framework","0:49","https://app.pluralsight.com/player?course=data-analysis-shiny-r-playbook&author=jacey-heuer&name=d297e863-089c-423f-a667-99d532a4df76&clip=2&mode=live&start=49&noteid=a039f7c2-9f66-4fa2-87e3-4d7dbab6b85a"
"Lazy Evaluation is NOT dynamically updated as you evaluate with shiny","Data Analysis with Shiny: R Playbook","Setting up the Shiny App","Developing the Reactive Environment","0:10","https://app.pluralsight.com/player?course=data-analysis-shiny-r-playbook&author=jacey-heuer&name=8e0dae3b-6fb0-4b29-9cd1-80a8bbf80d4e&clip=1&mode=live&start=10&noteid=dbdf7f18-da1b-42b6-ab86-00134d861bda"
"The General ui Objects for R shiny are fluidpage, fluidrow and column","Data Analysis with Shiny: R Playbook","Setting up the Shiny App","Programming the ui Object: Part 1","0:12","https://app.pluralsight.com/player?course=data-analysis-shiny-r-playbook&author=jacey-heuer&name=8e0dae3b-6fb0-4b29-9cd1-80a8bbf80d4e&clip=2&mode=live&start=12&noteid=81ea7372-8a16-47dc-8c62-ba6f109192fe"
